year,mass_bleaching,value
1990,n,1
1991,n,1
1992,n,1
1993,n,1
1994,n,1
1995,n,1
1996,n,1
1997,n,1
1998,b,1
1999,n,1
2000,n,1
2001,n,1
2002,b,1
2003,n,1
2004,n,1
2005,n,1
2006,n,1
2007,n,1
2008,n,1
2009,n,1
2010,n,1
2011,n,1
2012,n,1
2013,n,1
2014,n,1
2015,n,1
2016,b,1
2017,b,1
